Date,Rainfall_mm,Soil_Moisture,Risk_Level,DISTRICT,YEAR
2010-01-01,0.2,0.442,Low,UDUPI,2010
2010-01-02,0.0,0.424,Low,UDUPI,2010
2010-01-03,0.0,0.408,Low,UDUPI,2010
2010-01-04,0.0,0.393,Low,UDUPI,2010
2010-01-05,0.0,0.379,Low,UDUPI,2010
2010-01-06,0.0,0.368,Low,UDUPI,2010
2010-01-07,0.0,0.358,Low,UDUPI,2010
2010-01-08,0.0,0.348,Low,UDUPI,2010
2010-01-09,0.0,0.34,Low,UDUPI,2010
2010-01-10,6.3,0.344,Low,UDUPI,2010
2010-01-11,5.0,0.439,Low,UDUPI,2010
2010-01-12,3.9,0.467,Low,UDUPI,2010
2010-01-13,1.1,0.446,Low,UDUPI,2010
2010-01-14,1.1,0.424,Low,UDUPI,2010
2010-01-15,0.4,0.423,Low,UDUPI,2010
2010-01-16,0.0,0.405,Low,UDUPI,2010
2010-01-17,0.0,0.387,Low,UDUPI,2010
2010-01-18,0.0,0.372,Low,UDUPI,2010
2010-01-19,0.0,0.36,Low,UDUPI,2010
2010-01-20,0.0,0.348,Low,UDUPI,2010
2010-01-21,0.0,0.338,Low,UDUPI,2010
2010-01-22,0.0,0.328,Low,UDUPI,2010
2010-01-23,0.0,0.319,Low,UDUPI,2010
2010-01-24,0.0,0.312,Low,UDUPI,2010
2010-01-25,0.0,0.305,Low,UDUPI,2010
2010-01-26,0.0,0.3,Low,UDUPI,2010
2010-01-27,0.0,0.295,Low,UDUPI,2010
2010-01-28,0.0,0.29,Low,UDUPI,2010
2010-01-29,0.0,0.286,Low,UDUPI,2010
2010-01-30,0.0,0.282,Low,UDUPI,2010
2010-01-31,0.0,0.279,Low,UDUPI,2010
2010-02-01,0.0,0.276,Low,UDUPI,2010
2010-02-02,0.0,0.273,Low,UDUPI,2010
2010-02-03,0.0,0.271,Low,UDUPI,2010
2010-02-04,0.0,0.268,Low,UDUPI,2010
2010-02-05,0.0,0.266,Low,UDUPI,2010
2010-02-06,0.0,0.264,Low,UDUPI,2010
2010-02-07,0.0,0.262,Low,UDUPI,2010
2010-02-08,0.0,0.261,Low,UDUPI,2010
2010-02-09,0.0,0.259,Low,UDUPI,2010
2010-02-10,0.0,0.258,Low,UDUPI,2010
2010-02-11,0.0,0.258,Low,UDUPI,2010
2010-02-12,0.0,0.257,Low,UDUPI,2010
2010-02-13,0.0,0.256,Low,UDUPI,2010
2010-02-14,0.0,0.256,Low,UDUPI,2010
2010-02-15,0.0,0.255,Low,UDUPI,2010
2010-02-16,0.0,0.255,Low,UDUPI,2010
2010-02-17,0.0,0.254,Low,UDUPI,2010
2010-02-18,0.0,0.254,Low,UDUPI,2010
2010-02-19,0.0,0.254,Low,UDUPI,2010
2010-02-20,0.0,0.254,Low,UDUPI,2010
2010-02-21,0.0,0.254,Low,UDUPI,2010
2010-02-22,0.0,0.253,Low,UDUPI,2010
2010-02-23,0.0,0.253,Low,UDUPI,2010
2010-02-24,0.0,0.253,Low,UDUPI,2010
2010-02-25,0.0,0.253,Low,UDUPI,2010
2010-02-26,0.0,0.253,Low,UDUPI,2010
2010-02-27,0.0,0.253,Low,UDUPI,2010
2010-02-28,0.2,0.254,Low,UDUPI,2010
2010-03-01,0.0,0.255,Low,UDUPI,2010
2010-03-02,0.0,0.254,Low,UDUPI,2010
2010-03-03,0.1,0.256,Low,UDUPI,2010
2010-03-04,0.2,0.256,Low,UDUPI,2010
2010-03-05,0.0,0.257,Low,UDUPI,2010
2010-03-06,0.0,0.257,Low,UDUPI,2010
2010-03-07,0.0,0.256,Low,UDUPI,2010
2010-03-08,0.0,0.255,Low,UDUPI,2010
2010-03-09,0.0,0.255,Low,UDUPI,2010
2010-03-10,0.0,0.254,Low,UDUPI,2010
2010-03-11,0.0,0.254,Low,UDUPI,2010
2010-03-12,0.0,0.253,Low,UDUPI,2010
2010-03-13,0.0,0.253,Low,UDUPI,2010
